stada,dagsetning,prosenta,kronur,a_vid,heimild,athugasemd,felag,felag_audkenni,motadili,motadili_heiti,eyda_fra,eyda_til,manudir,haekkun_a_undan,haekkun_a_eftir,algengt_hja_odrum,samningar_fjoldi,samningar,slodir,heilleiki,fjoldi_haekkana,timabil_felags
,,,,,,,Kjarafélag viðskiptafræðinga og hagfræðinga,kjarafelag-vidskiptafraedinga-og-hagfraedinga,sveitarfelog,Samband íslenskra sveitarfélaga,2015-09-01,2023-04-01,91,"7,70%","5,00%","2022-01-01 2,50% (28 félög); 2017-05-01 4,50% (20 félög); 2018-05-01 3,75% (20 félög); 2016-01-01 7,20% (17 félög)",3,2015-09-01–2019-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2020-01-01–2023-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2020-01-01–2023-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/d6910c6d28d3504839b10b349e5f3728.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_979.pdf https://kjarasamningar.hestafl.is/pdfs/abd22ab3777beaa268c5659d68ed6ef9.pdf,samfelld,6,2015-09-01 – 2027-04-01
,,,,,,,LÍV,liv,sa,Samtök atvinnulífsins,1999-01-01,2024-02-01,301,"4,00%","3,25% / 23.750 kr","2007-01-01 2,25% (31 félög); 2024-02-01 3,25% (31 félög); 2005-01-01 3,00% (29 félög); 2022-01-01 2,50% (28 félög)",3,"2014-02-01–2015-02-28 Samtök atvinnulífsins, SA (Kjarasamningur) | 2024-01-01–2028-02-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2024-02-01–2028-02-01 Félag atvinnurekenda (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/f13b6784-a257-43ae-be29-af47fe6f8f49.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1702.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1703.pdf,samfelld,6,1998-01-01 – 2027-01-01
,,,,,,,Starfsmannafélag Kópavogs,starfsmannafelag-kopavogs,sveitarfelog,Samband íslenskra sveitarfélaga,2017-06-01,2024-04-01,82,"2,50%","3,25% / 23.750 kr","2024-02-01 3,25% (32 félög); 2022-01-01 2,50% (28 félög); 2024-04-01 3,50% (22 félög); 2018-05-01 3,75% (20 félög)",3,2020-01-01–2023-03-31 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2023-04-01–2024-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2024-04-01–2028-03-31 Samband íslenskra sveitarfélaga (Heildarsamningur),"https://kjarasamningar.hestafl.is/pdfs/samningur_478.pdf https://kjarasamningar.hestafl.is/pdfs/Kjarasamningur BSRB og SÍS 2023-2024, dags. 10. júní 2023.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1557.pdf",eyður,6,2015-05-01 – 2026-04-01
,,,,,,,Verkfræðingafélag Íslands,verkfraedingafelag-islands,sveitarfelog,Samband íslenskra sveitarfélaga,2021-01-01,2023-04-01,27,"2,50%","5,00%","2022-01-01 2,50% (28 félög); 2022-11-01 4,99% (16 félög); 2022-11-01 6,75% (13 félög); 2023-04-01 5,00% (5 félög)",3,2023-04-01–2024-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2020-01-01–2023-03-31 Samband íslenskra sveitarfélaga (Heildarsamningur) | 2020-01-01–2023-03-01 Samband íslenskra sveitarfélaga (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_980.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_984.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_979.pdf,samfelld,6,2021-01-01 – 2026-04-01
,,,,,,,Félag sjúkraþjálfara,felag-sjukrathjalfara,riki,Ríkið,2022-01-01,2024-04-01,27,17.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-01 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_415.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1461.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_414.pdf,samfelld,5,2022-01-01 – 2027-04-01
,,,,,,,Félagsráðgjafafélag Íslands,felagsradgjafafelag-islands,riki,Ríkið,2022-01-01,2024-04-01,27,17.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-01 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_501.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1143.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_679.pdf,samfelld,5,2022-01-01 – 2027-04-01
,,,,,,,Iðjuþjálfafélag Íslands,idjuthjalfafelag-islands,riki,Ríkið,2022-01-01,2024-04-01,27,17.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-01 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_696.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1144.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_695.pdf,samfelld,5,2022-01-01 – 2027-04-01
,,,,,,,Ljósmæðrafélag Íslands,ljosmaedrafelag-islands,riki,Ríkið,2022-01-01,2024-04-01,27,17.000 kr,"3,50%","2024-02-01 3,25% (32 félög); 2024-04-01 3,50% (21 félög); 2022-11-01 4,99% (16 félög); 2024-04-01 2,00% (16 félög)",3,"2023-04-01–2024-03-01 Ríkissjóður, SNR (Samkomulag) | 2024-04-01–2028-03-31 Ríkissjóður, SNR (Samkomulag) | 2019-04-01–2023-03-01 Ríkissjóður, SNR (Samkomulag)",https://kjarasamningar.hestafl.is/pdfs/samningur_558.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_559.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_561.pdf,samfelld,5,2022-01-01 – 2027-04-01
,,,,,,,Skerpa stéttarfélag,skerpa-stettarfelag,sa,Samtök atvinnulífsins,2017-05-01,2024-02-01,81,"3,00%","3,25% / 23.750 kr","2024-02-01 3,25% (31 félög); 2022-01-01 2,50% (28 félög); 2018-05-01 3,75% (20 félög); 2022-11-01 4,99% (16 félög)",3,"2024-02-01–2028-01-31 Samtök atvinnulífsins, SA (Heildarsamningur) | 2024-02-01–2028-02-01 Samtök atvinnulífsins, SA (Heildarsamningur) | 2019-04-01–2022-12-31 Landsvirkjun (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/samningur_skerpa_sa.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_5.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_366.pdf,samfelld,5,2017-05-01 – 2027-01-01
,,,,,,,"Rafiðnaðarsamband Íslands, VM, Félag vélstjóra og málmtæknimanna",rafidnadarsamband-islands-vm-felag-velstjora-og-malmtaeknima,fy-hs-veitur,HS Veitur,2025-01-01,2027-01-01,24,"3,50% / 23.750 kr","3,50% / 23.750 kr","2026-01-01 3,50% (32 félög); 2027-01-01 3,50% (32 félög); 2025-04-01 3,50% (31 félög); 2026-04-01 3,50% (30 félög)",1,2024-08-01–2027-12-31 HS Veitur hf. (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_1602.pdf,of fáir punktar,3,2024-02-01 – 2027-01-01
,,,,,,,Rafiðnaðarsamband Íslands,rafidnadarsamband-islands,sa,Samtök atvinnulífsins,1996-01-01,2027-01-01,372,2.700 kr,"3,25% / 23.750 kr","2025-01-01 3,50% (34 félög); 2027-01-01 3,50% (33 félög); 2024-02-01 3,25% (32 félög); 2026-01-01 3,50% (32 félög)",3,"1997-01-04–2000-03-01 Samtök atvinnulífsins, SA, kvikmyndahús (Heildarsamningur) | 2003-01-01–2004-12-01 Samtök atvinnulífsins, SA (Samkomulag) | 2008-02-01–2010-11-01 Samtök rafverktaka (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/SA_v_kvikmyndahusa.pdf https://kjarasamningar.hestafl.is/pdfs/Samtok_verslunarinnar.pdf https://kjarasamningar.hestafl.is/pdfs/samningur_1076.pdf,of fáir punktar,2,1996-01-01 – 2027-01-01
