stada,dagsetning,prosenta,kronur,a_vid,heimild,athugasemd,felag,felag_audkenni,motadili,motadili_heiti,eyda_fra,eyda_til,manudir,haekkun_a_undan,haekkun_a_eftir,algengt_hja_odrum,samningar_fjoldi,samningar,slodir,heilleiki,fjoldi_haekkana,timabil_felags
,,,,,,,Verkalýðs- og sjómannafélag Fáskrúðsfjarðar,verkalyds-og-sjomannafelag-faskrudsfjardar,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",1,1997-05-01–? Samband íslenskra sveitarfélaga (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100414240.pdf,samfelld,32,1996-01-01 – 2027-01-01
,,,,,,,Aldan stéttarfélag,aldan-stettarfelag,sa,Samtök atvinnulífsins,1995-06-09,2004-04-19,106,"3,20%","3,25%","2002-01-01 3,00% (19 félög); 2003-01-01 3,00% (18 félög); 2004-04-19 3,25% (14 félög); 1998-01-01 4,00% (12 félög)",1,"1995-09-01–1996-12-01 Samtök atvinnulífsins, SA (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23091414100.pdf,samfelld,29,1995-06-09 – 2027-01-01
,,,,,,,Aldan stéttarfélag,aldan-stettarfelag,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",0,,,samfelld,29,1995-06-09 – 2027-01-01
,,,,,,,Verkalýðsfélag Akraness,verkalydsfelag-akraness,sa,Samtök atvinnulífsins,2007-01-01,2010-01-01,36,"2,25%","2,50%","2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (7 félög); 2008-01-01 2,25% (6 félög); 2009-11-01 3,50% (4 félög)",1,2008-12-01–2010-12-31 Elkem Ísland ehf. (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_213.pdf,samfelld,29,2004-04-19 – 2027-01-01
,,,,,,,AFL - Starfsgreinafélag,afl-starfsgreinafelag-2,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",3,"2008-02-01–2010-03-01 Samtök atvinnulífsins, SA (Sérkjarasamningur) | 1997-02-03–2007-12-31 Samtök atvinnulífsins, SA (Sérkjarasamningur) | 2004-05-01–2007-12-31 Samtök atvinnulífsins, SA (fiskmjölsverksmiðjur) (Sérkjarasamningur)",https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100414351.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100414261.pdf https://kjarasamningar.hestafl.is/pdfs/SKM_C554e23100414330.pdf,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,Báran stéttarfélag,baran-stettarfelag,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",1,2011-05-01–2013-02-28 Sólheimar ses. (Heildarsamningur),https://kjarasamningar.hestafl.is/pdfs/samningur_1521.pdf,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,"Drífandi stéttarfélag, Verkalýðsfélag Þórshafnar",drifandi-stettarfelag-verkalydsfelag-thorshafnar,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",0,,,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,Framsýn,framsyn,sa,Samtök atvinnulífsins,2007-01-01,2011-05-05,52,"2,25%","3,25% / 11.000 kr","2011-05-05 3,25% (15 félög); 2009-03-01 3,50% (8 félög); 2010-01-01 2,50% (8 félög); 2008-01-01 2,25% (6 félög)",0,,,samfelld,28,2004-04-19 – 2027-01-01
,,,,,,,RSÍ,rsi,sa,Samtök atvinnulífsins,1998-01-01,2000-01-01,24,"4,00%","1,20%","1999-01-01 4,00% (7 félög)",1,"1997-01-04–2000-03-01 Samtök atvinnulífsins, SA, kvikmyndahús (Heildarsamningur)",https://kjarasamningar.hestafl.is/pdfs/SA_v_kvikmyndahusa.pdf,samfelld,28,1998-01-01 – 2027-01-01
,,,,,,,RSÍ,rsi,sa,Samtök atvinnulífsins,2000-01-01,2002-01-01,24,"1,20%","3,00%","2002-01-01 3,00% (18 félög); 2001-01-01 3,00% (8 félög)",3,"1997-01-04–2000-03-01 Samtök atvinnulífsins, SA, kvikmyndahús (Heildarsamningur) | 2000-03-01–2003-02-01 Íslenska útvarpsfélagið hf. (Heildarsamningur) | 2000-05-01–2019-10-31 Landsvirkjun (Viðauki)",https://kjarasamningar.hestafl.is/pdfs/SA_v_kvikmyndahusa.pdf https://kjarasamningar.hestafl.is/pdfs/Islenska_utvarpsfelagid2.pdf https://kjarasamningar.is/pdfs/SA_v_Landsvirkjunar.pdf,samfelld,28,1998-01-01 – 2027-01-01
