Mánuður,Eining,gildi
2000M07,"Mánaðarbreyting, %",0.4
2000M07,"Ársbreyting, %",7.9
2000M08,Vísitölugildi,196.6
2000M08,"Mánaðarbreyting, %",0.1
2000M08,"Ársbreyting, %",7.9
2000M09,Vísitölugildi,196.8
2000M09,"Mánaðarbreyting, %",0.1
2000M09,"Ársbreyting, %",7.8
2000M10,Vísitölugildi,197.2
2000M10,"Mánaðarbreyting, %",0.2
2000M10,"Ársbreyting, %",7.8
2000M11,Vísitölugildi,197.4
2000M11,"Mánaðarbreyting, %",0.1
2000M11,"Ársbreyting, %",7.6
2000M12,Vísitölugildi,198
2000M12,"Mánaðarbreyting, %",0.3
2000M12,"Ársbreyting, %",7.6
2001M01,Vísitölugildi,204.2
2001M01,"Mánaðarbreyting, %",3.1
2001M01,"Ársbreyting, %",9.3
2001M02,Vísitölugildi,204.8
2001M02,"Mánaðarbreyting, %",0.3
2001M02,"Ársbreyting, %",8.2
2001M03,Vísitölugildi,207
2001M03,"Mánaðarbreyting, %",1.1
2001M03,"Ársbreyting, %",9.2
2001M04,Vísitölugildi,208.7
2001M04,"Mánaðarbreyting, %",0.8
2001M04,"Ársbreyting, %",9.2
2001M05,Vísitölugildi,210
2001M05,"Mánaðarbreyting, %",0.6
2001M05,"Ársbreyting, %",8
2001M06,Vísitölugildi,211.7
2001M06,"Mánaðarbreyting, %",0.8
2001M06,"Ársbreyting, %",8.2
2001M07,Vísitölugildi,212.4
2001M07,"Mánaðarbreyting, %",0.3
2001M07,"Ársbreyting, %",8.1
2001M08,Vísitölugildi,213.9
2001M08,"Mánaðarbreyting, %",0.7
2001M08,"Ársbreyting, %",8.8
2001M09,Vísitölugildi,214.8
2001M09,"Mánaðarbreyting, %",0.4
2001M09,"Ársbreyting, %",9.1
2001M10,Vísitölugildi,215.2
2001M10,"Mánaðarbreyting, %",0.2
2001M10,"Ársbreyting, %",9.1
2001M11,Vísitölugildi,215.9
2001M11,"Mánaðarbreyting, %",0.3
2001M11,"Ársbreyting, %",9.4
2001M12,Vísitölugildi,217
2001M12,"Mánaðarbreyting, %",0.5
2001M12,"Ársbreyting, %",9.6
2002M01,Vísitölugildi,224.6
2002M01,"Mánaðarbreyting, %",3.5
2002M01,"Ársbreyting, %",10
2002M02,Vísitölugildi,224.8
2002M02,"Mánaðarbreyting, %",0.1
2002M02,"Ársbreyting, %",9.8
2002M03,Vísitölugildi,225
2002M03,"Mánaðarbreyting, %",0.1
2002M03,"Ársbreyting, %",8.7
2002M04,Vísitölugildi,225.4
2002M04,"Mánaðarbreyting, %",0.2
2002M04,"Ársbreyting, %",8
2002M05,Vísitölugildi,225.8
2002M05,"Mánaðarbreyting, %",0.2
2002M05,"Ársbreyting, %",7.5
2002M06,Vísitölugildi,226.3
2002M06,"Mánaðarbreyting, %",0.2
2002M06,"Ársbreyting, %",6.9
2002M07,Vísitölugildi,226.5
2002M07,"Mánaðarbreyting, %",0.1
2002M07,"Ársbreyting, %",6.6
2002M08,Vísitölugildi,226.7
2002M08,"Mánaðarbreyting, %",0.1
2002M08,"Ársbreyting, %",6
2002M09,Vísitölugildi,227.2
2002M09,"Mánaðarbreyting, %",0.2
2002M09,"Ársbreyting, %",5.8
2002M10,Vísitölugildi,227.9
2002M10,"Mánaðarbreyting, %",0.3
2002M10,"Ársbreyting, %",5.9
2002M11,Vísitölugildi,228.1
2002M11,"Mánaðarbreyting, %",0.1
2002M11,"Ársbreyting, %",5.7
2002M12,Vísitölugildi,228.7
2002M12,"Mánaðarbreyting, %",0.3
2002M12,"Ársbreyting, %",5.4
2003M01,Vísitölugildi,237
2003M01,"Mánaðarbreyting, %",3.6
2003M01,"Ársbreyting, %",5.5
2003M02,Vísitölugildi,237.5
2003M02,"Mánaðarbreyting, %",0.2
2003M02,"Ársbreyting, %",5.6
2003M03,Vísitölugildi,237.8
2003M03,"Mánaðarbreyting, %",0.1
2003M03,"Ársbreyting, %",5.7
2003M04,Vísitölugildi,238
2003M04,"Mánaðarbreyting, %",0.1
2003M04,"Ársbreyting, %",5.6
2003M05,Vísitölugildi,238.5
2003M05,"Mánaðarbreyting, %",0.2
2003M05,"Ársbreyting, %",5.6
2003M06,Vísitölugildi,239
2003M06,"Mánaðarbreyting, %",0.2
2003M06,"Ársbreyting, %",5.6
2003M07,Vísitölugildi,239.3
2003M07,"Mánaðarbreyting, %",0.1
2003M07,"Ársbreyting, %",5.7
2003M08,Vísitölugildi,239.6
2003M08,"Mánaðarbreyting, %",0.1
2003M08,"Ársbreyting, %",5.7
2003M09,Vísitölugildi,239.9
2003M09,"Mánaðarbreyting, %",0.1
2003M09,"Ársbreyting, %",5.6
2003M10,Vísitölugildi,240.4
2003M10,"Mánaðarbreyting, %",0.2
2003M10,"Ársbreyting, %",5.5
2003M11,Vísitölugildi,240.7
2003M11,"Mánaðarbreyting, %",0.1
2003M11,"Ársbreyting, %",5.5
2003M12,Vísitölugildi,241
2003M12,"Mánaðarbreyting, %",0.1
2003M12,"Ársbreyting, %",5.4
2004M01,Vísitölugildi,244.9
2004M01,"Mánaðarbreyting, %",1.6
2004M01,"Ársbreyting, %",3.3
2004M02,Vísitölugildi,245.4
2004M02,"Mánaðarbreyting, %",0.2
2004M02,"Ársbreyting, %",3.3
2004M03,Vísitölugildi,246.8
2004M03,"Mánaðarbreyting, %",0.6
2004M03,"Ársbreyting, %",3.8
2004M04,Vísitölugildi,247.5
2004M04,"Mánaðarbreyting, %",0.3
2004M04,"Ársbreyting, %",4
2004M05,Vísitölugildi,249.5
2004M05,"Mánaðarbreyting, %",0.8
2004M05,"Ársbreyting, %",4.6
2004M06,Vísitölugildi,251.1
2004M06,"Mánaðarbreyting, %",0.6
2004M06,"Ársbreyting, %",5.1
2004M07,Vísitölugildi,251.4
2004M07,"Mánaðarbreyting, %",0.1
2004M07,"Ársbreyting, %",5.1
2004M08,Vísitölugildi,252
2004M08,"Mánaðarbreyting, %",0.2
2004M08,"Ársbreyting, %",5.2
2004M09,Vísitölugildi,252.5
2004M09,"Mánaðarbreyting, %",0.2
2004M09,"Ársbreyting, %",5.3
2004M10,Vísitölugildi,253.2
2004M10,"Mánaðarbreyting, %",0.3
2004M10,"Ársbreyting, %",5.3
2004M11,Vísitölugildi,253.8
2004M11,"Mánaðarbreyting, %",0.2
