Mánuður,Vísitala,Launþegahópur,Eining,gildi
2015M05,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.3
2015M05,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,76.6
2015M05,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.1
2015M05,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,75.6
2015M05,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.1
2015M05,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.7
2015M05,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0
2015M06,Launavísitala,Alls,Vísitölugildi,77.1
2015M06,Launavísitala,Alls,"Mánaðarbreyting, %",2.3
2015M06,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,77.5
2015M06,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",2.8
2015M06,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,75.4
2015M06,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.6
2015M06,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,74.6
2015M06,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",1.1
2015M06,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,76.4
2015M06,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2015M06,Vísitala grunnlauna,Alls,Vísitölugildi,77.5
2015M06,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",2.2
2015M06,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,77.9
2015M06,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",2.9
2015M06,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,76.8
2015M06,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.3
2015M06,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,76
2015M06,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.5
2015M06,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,77.8
2015M06,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.1
2015M07,Launavísitala,Alls,Vísitölugildi,78
2015M07,Launavísitala,Alls,"Mánaðarbreyting, %",1.1
2015M07,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,78.6
2015M07,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",1.4
2015M07,Launavísitala,Opinberir starfsmenn - alls,Vísitölugildi,75.9
2015M07,Launavísitala,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.6
2015M07,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,75.1
2015M07,Launavísitala,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.7
2015M07,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,76.8
2015M07,Launavísitala,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.5
2015M07,Vísitala grunnlauna,Alls,Vísitölugildi,78.4
2015M07,Vísitala grunnlauna,Alls,"Mánaðarbreyting, %",1.1
2015M07,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,78.9
2015M07,Vísitala grunnlauna,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",1.3
2015M07,Vísitala grunnlauna,Opinberir starfsmenn - alls,Vísitölugildi,77.1
2015M07,Vísitala grunnlauna,Opinberir starfsmenn - alls,"Mánaðarbreyting, %",0.3
2015M07,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,Vísitölugildi,76.1
2015M07,Vísitala grunnlauna,Opinberir starfsmenn - ríkisstarfsmenn,"Mánaðarbreyting, %",0.2
2015M07,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitölugildi,78.2
2015M07,Vísitala grunnlauna,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Mánaðarbreyting, %",0.6
2015M08,Launavísitala,Alls,Vísitölugildi,78.2
2015M08,Launavísitala,Alls,"Mánaðarbreyting, %",0.3
2015M08,Launavísitala,Starfsmenn á almennum vinnumarkaði,Vísitölugildi,78.7
2015M08,Launavísitala,Starfsmenn á almennum vinnumarkaði,"Mánaðarbreyting, %",0.1
