heimild,heimild_heiti,skjal,adili_1,adili_2,rakning,samningur_fra,samningur_til,gildir_fra,tegund,prosenta,kronur,a_vid,artal_stada,tilvitnun
afl,AFL Starfsgreinafélag,afl/kjarasamningursaogsamidn.pdf,Samtaka atvinnulífsins,Samiðnar ­ sambands,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,óskilgreint,úr texta,".1.1.3. Starfsaldur miðast við starfsaldur í starfsgrein frá sveinsprófi. 1.1.2. Launabreytingar á samningstímanum Laun og aðrir kjaratengdir liðir hækka sem hér segir: 26. apríl 2004 3,25%. 1. janúar 2005 3,0%, 1. janúar 2006 2,5% 1. janúar 2007 2,25%. 1.1.3. Taxtar nær greiddu kaupi Með samningi þessum eru lágm arkslauna"
afl,AFL Starfsgreinafélag,afl/livafl.pdf,"skóla, stéttarfélags",fyrirtækis,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,almenn laun,úr texta,"amkaupa hf. Um laun star fsfólks í gestamó ttöku og apót ekum ví sast t il viðkomandi samninga. 1.2. Launamyndun 1.2.1. H ækkun launa Öll laun hækka sem hér segir: 16. apríl 2004 3,25%, 1. janúar 2005 3,00%, 1. janúar 2006 2,50%, 1. janúar 2007 2,25% (2,9%) Aðrir k jaratengdir liðir tak a sö mu breytingum hlutfallsleg"
afl,AFL Starfsgreinafélag,afl/rkissamningur.pdf,fjármálaráðherra f.h. ríkissjóðs,Starfsgreinasambands Íslands,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,launatafla,úr texta,"eð 21,67 í mánaðarlaunin og margfaldað með fjölda almanaksdaga annarra en laugardaga og sunnudaga frá upphafi eða til loka starfstíma. 1.1.3 Launatafla taki þeim hækkunum sem hér segir: 1. janúar 2005 3,00% 1. janúar 2006 2,50% 1. janúar 2007 2,25% 1. janúar 2008 0,50% 1.2 Launaþrep 1.2.1 Í launatöflu eru 6 þrep o"
afl,AFL Starfsgreinafélag,afl/samningur_vid_edduhotel.pdf,Flugleiðahótel hf. vegna sumarhótela sinna,Starfsgreinasamband,aðilar úr skjali,2004-03-01,2007-12-31,2005-01-01,prósenta,3.0,,launatafla,úr texta,"ð það ár sem hlutaðeigandi aldri er náð. Laun 17 ára eru 95% af byrjunarlaunum 18 ára í launaflokki 4, laun 16 ára 90% , laun 15 ára 75% og 14 ára 65% af sama stofni. Laun hækka sem hér segir: 1. janúar 2005 um 3%, 1. janúar 2006 um 2,5% 1. janúar 2008 um 2,25% Þann 1. janúar 2006 breytist röðun starfa í launaflokka þannig að þei"
afl,AFL Starfsgreinafélag,afl/ssiogasaaustf.pdf,Útvegsmannafélags Austfjarða og Samtaka atvinnulífsins,Alþýðusambands Austurlands,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,óskilgreint,úr texta,"al reikna m.v. mönnun að honum meðtöldum. 1.03. Hækkun kaupliða. Frá gildistöku samnings þessa skulu kauptrygging og aðrir launaliðir hækka sem hér segir: Frá 30. október 2004 4,25% Þann 1. janúar 2005 3,00% Þann 1. janúar 2006 3,50% Þann 1. janúar 2007 2,25% Þann 1. janúar 2008 3,50% Tímakaup skal miðast við deilistuðul"
afl,AFL Starfsgreinafélag,afl/ssiogliuhofn.pdf,Landsambands íslenskra útvegsmanna og Samtaka atvinnulífsins,Sjómannasambands Íslands,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,óskilgreint,úr texta,"eikna m.v. mönnun að honum meðtöldum. 1.03. Hækkun kaupliða. Frá gildistöku samnings þessa skulu kaupt rygging og aðrir la unaliðir hækka sem hér segir: Frá 30. október 2004 4,25% Þann 1. janúar 2005 3,00% Þann 1. janúar 2006 3,50% Þann 1. janúar 2007 2,25% Þann 1. janúar 2008 3,50% Tímakaup skal miðast við deilistuðul"
afl,AFL Starfsgreinafélag,afl/veitogtjonustus.pdf,Samtaka atvinnulífsins,Starfsgreinasambands Íslands,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,almenn laun,úr texta,"nunarstarfa í skriflegum ráðningarsamningi. 1.2.5. Skilgreina skal starfssvið dyravarða í skriflegum ráðningarsamningi. 1.3. Launahækkanir 1.3.1. Laun hækka sem hér segir: 1. mars 2004 3,25%. 1. janúar 2005 3,00%, 1. janúar 2006 2,50%, 1. janúar 2007 2,25%. Aðrir kjaratengdir liðir taka sömu breytingum hlutfallslega á sömu d"
sa,Samtök atvinnulífsins,sa/b7f7e43a-dad2-4794-95ed-00b41f6ebb01_Kjarasamningur SA og Lyfjafræðingafélags Íslands v. apóteka.pdf,SAMTAKA ATVINNULÍFSINS,LYFJAFRÆÐINGAFÉLAGS ÍSLANDS,aðilar úr skjali,,,2005-01-01,prósenta,2.5,,óskilgreint,úr texta,"ttar lyfjafræðinga sem starfa í apótekum. Samkomulag er um að samningsaðilar geri launakannanir í ársbyrjun 2005 og 2006 sem sýni launabreytingar sem verða innan stéttarinnar á tímabilinu. Komi í ljós að launabreytingar lyfjafræðinga í heild hafi verið lægri en 2,5% á tímabilinu frá 1. janúar 2005 – 31. desember 2005 verður mismunur launa - breytinga skv. launakönnun og 2,5% greiddur í formi kjara"
samidn,Samiðn,samidn/kjarasamningur_or-_lokaskjal_-_10092006_-_samidn.pdf,Samiðnar sambands iðnfélaga f.h. aðildarfélaga,Orkuveitu Reykjavíkur,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,launatafla,úr texta,"r degi alla vikuna og þá sem vinna reglubundið t.d. einn dag í viku eða hluta af einum degi. 1.1.4 Mánaðarlaun skv. 1.1.1 hækka sem hér segir: 1. janúar 2004 hækkar launatafla skv. 1.1.1 um 3,25% 1. janúar 2005 hækkar launatafla skv. 1.1.1 um 3,00% 1. janúar 2006 hækkar launatafla skv. 1.1.1 um 2,50% 1. janúar 2007 hækkar launatafla skv. 1.1.1 um 2,25% 1.2 Launaþre"
samidn,Samiðn,samidn/samidn_-_bilgreinasambandid_2004_-_endanlegt.pdf,Bílgreinasambandsins,Samiðnar - Sambands iðnfélaga,aðilar úr skjali,,,2005-01-01,prósenta,3.0,,óskilgreint,úr texta,"ri til launa telst 22 ára aldur jafngilda eins árs starfi í starfsgrein. 1.1.2. Launabreytingar á samningstímanum Laun og aðrir kjaratengdir liðir hækka sem hér segir: 1. maí 2004 3,25%. 1. janúar 2005 3,0%, 1. janúar 2006 2,5% 1. janúar 2007 2,25%. 1.1.3 Taxtar nær greiddu kaupi Með sam ningi þessum eru lágm arksl"
