heimild,heimild_heiti,skjal,adili_1,adili_2,rakning,samningur_fra,samningur_til,gildir_fra,tegund,prosenta,kronur,a_vid,artal_stada,tilvitnun
sa,Samtök atvinnulífsins,sa/0d657aff-3cd4-474a-87d1-abb6ad2225a1_Kjarasamningur SA og Samiðnar vegna málmiðnaðar_ byggingariðnaðar og skrúðgarðyrkju 19-22.pdf,Samtaka atvinnulífsins,"Samiðnar - sambands iðnfélaga f.h. aðildarfélaga í málmiðnaði, byggingariðnaði og skrúðgarðyrkju",aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,almenn laun,úr texta,1.1.2.1. Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf: 1. apríl 2019: kr. 17.000 1. apríl 2020: kr. 18.000 1. janúar 2021: kr. 15.750 1. janúar 2022: kr. 17.250 Kjaratengdir liðir kjarasamning si
sa,Samtök atvinnulífsins,sa/184cf3dd-6516-49e1-8e09-e9a4f3b3d8e6_Kjarasamningur SA og Sambands stjórnunarfélaga.pdf,Samtaka atvinnulífsins,Sambands stjórnendafélaga,aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,almenn laun,úr texta,um 1.1.1.1 Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kjaratengdir liðir kjarasamninga hæ
sa,Samtök atvinnulífsins,sa/2e457864-942f-4d75-8650-fb89960133c6_kjarasamningur-matvi-s-og-sa-2019-2022-lokaskjal-ima.pdf,Samtaka atvinnulífsins,Matvæla- og veitingafélags Íslands,aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,almenn laun,úr texta,un 1.2.1. Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf: 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kjaratengdir liðir kjarasamninga hæ
sa,Samtök atvinnulífsins,sa/4664fee0-859a-42b1-a9f4-64dcd50b2159_Þjónustusamningur SA og Eflingar.pdf,Samtaka atvinnulífsins,Starfsgreinasambands Íslands og,aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,kauptaxtar,úr texta,unafólks. Launahækkanir samningsins eru al lar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. 1.3.2. Kauptaxtar Kauptaxtar hækk
sa,Samtök atvinnulífsins,sa/c9ce924d-de37-4d9b-a9d9-eaa4f71737c7_Kjarasamningur SA og Rafiðnaðarsambands Íslands v. aðildarfélaga 19-22.pdf,Samtaka atvinnulífsins og Samtaka rafverktaka,Rafiðnaðarsambands Íslands vegna aðildarfélaga,aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,almenn laun,úr texta,r 1.2.1. Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf: 1. apríl 2019: kr. 17.000 1. apríl 2020: kr. 18.000 1. janúar 2021: kr. 15.750 1. janúar 2022: kr. 17.250 Kjaratengdir liðir kjarasamning si
sa,Samtök atvinnulífsins,sa/d5c67d27-a474-4e7d-a402-2e1b1579f12c_Kjarasamningur SA og Mjólkurfræðingafélags Íslands 19-22.pdf,Samtaka atvinnulífsins,Mjólkurfræðingafélags Íslands,aðilar úr skjali,,,2019-04-01,krónutala,,17000,almenn laun,úr texta,Launahækkanir samningsins eru allar í formi krónutölu - hækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. 1.1.2. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kjaratengdir liðir kjarasamning
sa,Samtök atvinnulífsins,sa/dbecba48-72c5-45d3-8bca-497c7bc6c463_Kjarasamningur SA og Félags hársnyrtisveina 19-22.pdf,Samtaka atvinnulífsins,Félags hársnyrtisveina,aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,almenn laun,úr texta,"1.2.1. Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðar - laun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf: 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. 1 Til og með 31. mars 2020: 173,33"
sa,Samtök atvinnulífsins,sa/ec7569f0-03c7-4aae-915b-1a47a768b8ce_Kjarasamningur SA og VM_ félags vélstjóra og málmtæknimanna 19-22.pdf,Samtaka atvinnulífsins,"VM, Félags vélstjóra og málmtæknimanna",aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,almenn laun,úr texta,1.1.2.1. Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf: 1. apríl 2019: kr. 17.000 1. apríl 2020: kr. 18.000 1. janúar 2021: kr. 15.750 1. janúar 2022: kr. 17.250 Kjaratengdir liðir kjarasamning si
sa,Samtök atvinnulífsins,sa/ff7fb6b4-17a7-4c37-b88b-846cc6e62456_Kjarasamningur 2019 meistarafélög í byggingariðnaði og Samiðn - lokaskjal - PDF.pdf,"Samtaka atvinnulífsins, vegna meistarafélaga í byggingariðnaði innan Samtaka iðnaðarins",Samiðnar - sambands iðnfélaga f.h. aðildarfélaga í byggingariðnaði,aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,almenn laun,úr texta,ímanum Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf: 1. apríl 2019: kr. 17.000 1. apríl 2020: kr. 18.000 1. janúar 2021: kr. 15.750 1. janúar 2022: kr. 17.250 Kjaratengdir liðir kjarasamning si
sa,Samtök atvinnulífsins,sa/kjarasamningur-sa-og-vr-liv-2019-2022-netutgafa-pdf-uppfaert.pdf,Samtaka atvinnulífsins,VR og,aðilar úr skjali,2019-01-01,2022-12-31,2019-04-01,krónutala,,17000,kauptaxtar,úr texta,nafólks. L aunahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kauptaxtar Kauptaxtar hækka sérst
sameyki,Sameyki stéttarfélag í almannaþjónustu,sameyki/''Kjarasamningur Reykjavíkurborgar og Sameykis 2019 - 2023 lokaeintak lagfært uppfært - Copy (1).pdf,Reykjavíkurborgar,Sameykis – stéttarfélags í,aðilar úr skjali,2019-04-01,2023-03-31,2019-04-01,krónutala,,17000,launatafla,úr texta,"5 1 Kaup 1.1 Mánaðarlaun 1.1.1 Mánaðarlaun starfsmanns sem gegnir fullu starfi, skulu greidd skv. meðfylgjandi launatöflum í fylgiskjali XV sem taka eftirfarandi breytingum á samningstímanum: 1. apríl 2019 hækka laun um kr. 17.000, launatafla 1. 1. apríl 2020 hækka laun um kr. 24.000 samhliða breyttri tengingu starfsmats við launatöflu, launatafla 2 1. janúar 20"
sameyki,Sameyki stéttarfélag í almannaþjónustu,sameyki/''Kjarasamningur Sameykis við Reykjavíkurborg - Copy (4).pdf,Sameykis stéttarfélags í almannaþjónustu,Reykjavíkurborgar,aðilar úr skjali,2021-05-01,2023-03-31,2019-04-01,krónutala,,17000,launatafla,grunsamlegt,"5 1 Kaup 1.1 Mánaðarlaun 1.1.1 Mánaðarlaun starfsmanns sem gegnir fullu starfi, skulu greidd skv. meðfylgjandi launatöflum í fylgiskjali XV sem taka eftirfarandi breytingum á samningstímanum: 1. apríl 2019 hækka laun um kr. 17.000, launatafla 1. 1. apríl 2020 hækka laun um kr. 24.000 samhliða breyttri tengingu starfsmats við launatöflu, launatafla 2. 1. janúar 2"
sameyki,Sameyki stéttarfélag í almannaþjónustu,sameyki/''OR-Sameykikjarasamningur.pdf,"Sameykis, stéttarfélags í almannaþjónustu","Orkuveitu Reykjavíkur, sameignarfyrirtækis",aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,launatafla,úr texta,"r og Sameykis, stéttarfélags í almannaþjónustu, áður Starfsmannafélag Reykjavíkurborgar. 2. gr. Um launabreytingar Á samningstímanum hækkar launatafla kjarasamnings með svofelldum hætti: Frá 1. apríl 2019 kr. 17.000. Frá 1. apríl 2020 kr. 24.000. Frá 1. janúar 2021 kr. 24.000. Frá 1. janúar 2022 kr. 25.000. 3. gr. Desember- og o"
samidn,Samiðn,samidn/Kjarasamningur_BGS_og_Samidn_07052019.pdf,Samiðnar,Bílgreinasambandsins,aðilar úr skjali,,,2019-04-01,krónutala,,17000,almenn laun,úr texta,nabreytingar Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kjaratengdir liðir kjarasamninga hækk
samidn,Samiðn,samidn/Kjarasamningur_Felag_pipulagningameistara_07052019.pdf,Samiðnar,Félag pípulagningameistara,aðilar úr skjali,,,2019-04-01,krónutala,,17000,almenn laun,úr texta,nabreytingar Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kjaratengdir liðir kjarasamninga hækk
samidn,Samiðn,samidn/Reykjavikurborg_22012020.pdf,Reykjavikurborgar Samidnar Gildir tr61. april 2019 til 31. mars 2OZg,b-t */,aðilar úr skjali,,,2019-04-01,krónutala,,17000,launatafla,úr texta,"3 4 /-/ 1 Kaup 1.1 1.1.1 Mina6arlaun MSnadarraun starfsmanng - ler g.egrr furu starfi, skutu greidd skv.medfolgjandi launatoflum i fyrgiskja""ri V sem i""r."" ""ttirrrrandi breytingum dsamningstimanum: 1. april 2019 hakka laun um kr. 17.000, launatafla 1.1. april 2o20 hekka raun um.kr. z+-ooo-r""rniio"" breyttri tengingustarfsmats vid taunatciflu, launatafla 2.1. jantar 2021"
samidn,Samiðn,samidn/Samidn-19.1.23-lok.pdf,fjármála- og efnahagsráðherra f.h. ríkissjóðs,Samiðnar,aðilar úr skjali,,,2019-04-01,krónutala,,17000,almenn laun,úr texta,"er með 21,67 í má naðarlaunin og margfaldað með fjölda almanaksdaga annarra en laugardaga og sunnudaga frá upphafi eða til loka starfstíma. 1.1.3 Laun samkvæmt grein 1.1.1 hækki sem hér segir: 1. apríl 2019: Laun hækka um 17.000 kr. 1. apríl 2020: Laun hækka um 18.000 kr. 1. janúar 2021: Laun hækka um 15.750 kr. 1. janúar 2022: Laun hækka um"
samidn,Samiðn,samidn/Samidn_og_SA_-_KJARASAMNINGUR_2019.pdf,Samiðnar,Samtaka atvinnulífsins,aðilar úr skjali,,,2019-04-01,krónutala,,17000,almenn laun,úr texta,nabreytingar Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kjaratengdir liðir kjarasamninga hækk
sgs,Starfsgreinasamband Íslands,sgs/kjarasamningur-sgs-og-rikisins-2019.pdf,fjármála- og efnahagsráðherra f.h. ríkissjóðs,Starfsgreinasambands Íslands,aðilar úr skjali,2019-04-01,2023-03-31,2019-04-01,krónutala,,17000,launatafla,úr texta,markaður með ramma er hafður til skýringar. Kjarasamningur SGS og fjármála- og efnahagsráðherra f.h. ríkissjóðs 1 1 Um kaup 1.1 Mánaðarlaun 1.1.1 Laun samkvæmt grein 1.1.1 hækki sem hér segir: 1. apríl 2019: Laun hækka um 17.000 kr. 1. apríl 2020: Laun hækka um 24.000 kr. fyrir launaflokk a 1-17 og um 18.000 kr. fyrir hærri launaflokka. 1. janúar 20
sgs,Starfsgreinasamband Íslands,sgs/taxtar_sa_1-april-2019.pdf,"um veitinga-, þjónustu",greiðasölustaði og hliðstæða starfsemi. ...15,aðilar úr skjali,,,2019-04-01,krónutala,,17000,kauptaxtar,úr texta,"aðilar standa sameiginlega að. • Laun fyrir vinnu umfram 173,33 stundir á mánuði og endurgjald á útlögðum kostnaði reiknast ekki með í þessu sambandi. Almenn hækkun á mánaðarlaun fyrir fullt starf • 1. apríl 2019 17.000 kr. á mánuði • 1. apríl 2020 18.000 kr. • 1. janúar 2021 15.750 kr. • 1. janúar 2022 17.250 kr. Kauptaxtar hækka sérstaklega • 1."
vfi,Verkfræðingafélag Íslands / Stéttarfélag verkfræðinga,vfi/OR_VFI_2020.pdf,kjaradeildar Verkfræðingafélags Íslands,"Orkuveitu Reykjavíkur, sameignarfyrirtækis",aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,almenn laun,úr texta,sér breytingar og viðbætur við kjarasamning Orkuveitu Reykjavíkur og kjaradeildar Verkfræðingafélags Íslands. 2. gr. Um launabreytingar Á samningstímanum hækka laun með svofelldum hætti: Frá 1. apríl 2019 kr. 17.000. Frá 1. apríl 2020 kr. 24.000. Frá 1. janúar 2021 kr. 24.000. Frá 1. janúar 2022 kr. 25.000. 3. gr. Desember- og o
vm,VM - Félag vélstjóra og málmtæknimanna,vm/Heildartexti_Landsvirkjun_2021_hreint.pdf,Landsvirkjunar,VM Félags vélstjóra og málmtæknimanna,aðilar úr skjali,2011-06-22,2014-01-31,2019-04-01,krónutala,,17000,kauptaxtar,grunsamlegt,"ess að setja á vaktir, enda greiðist þá öll umframvinna með yfirvinnukaupi. 9 4. Kafli LAUNAÁKVÆÐI 4.1 Launaflokkar Kauptaxtar kjarasamningsins hækka á samningstímabilinu sem hér segir: 1. apríl 2019 kr. 17.000 1. apríl 2020 kr. 24.000 1. janúar 2021 kr. 24.000 1. janúar 2022 kr. 25.000 Aðrir launaliðir kjarasamningsins hækka"
vm,VM - Félag vélstjóra og málmtæknimanna,vm/Kjarasamn-VM-Hafro-1-april-2019-til-31-mars-2023.pdf,fjármála- og efnahagsráðherra f.h. ríkissjóðs,VM – Félags vélstjóra og málmtæknimanna,aðilar úr skjali,,,2019-04-01,krónutala,,17000,launatafla,úr texta,"1.1 Mánaðarkaup 1.1.1 Mánaðarlaun starfsmanns sem gegnir fullu starfi, skulu frá 1. apríl 2019 greidd samkvæmt launatöflu í fylgiskjali 1. 1.1.2 Laun samkvæmt grein1.1.1 hækki sem hér segir: 1. apríl 2019: Laun hækka um 17.000 kr. 1. apríl 2020: Laun hækka um 18.000 kr. 1. janúar 2021: Laun hækka um 15.750 kr. 1. janúar 2022: Laun hækka um 17.250"
vm,VM - Félag vélstjóra og málmtæknimanna,vm/Kjarasamn-VM-LHG-1-april-2019-til-31-mars-2023.pdf,fjármála- og efnahagsráðherra f.h. ríkissjóðs,VM – Félags vélstjóra og málmtæknimanna,aðilar úr skjali,,,2019-04-01,krónutala,,17000,launatafla,úr texta,"p 1.1 Mánaðarkaup 1.1.1 Mánaðarlaun starfsmanns sem gegnir fullu starfi, skulu frá 1. apríl 2019 greidd samkvæmt launatöflu í fylgiskjali 1. 1.1.2 Laun samkvæmt grein1.1.1 hækki sem hér segir: 1. apríl 2019: Laun hækka um 17.000 kr. 1. apríl 2020: Laun hækka um 18.000 kr. 1. janúar 2021: Laun hækka um 15.750 kr. 1. janúar 2022: Laun hækka um 17.250"
vm,VM - Félag vélstjóra og málmtæknimanna,vm/kjarasamn-vm-bjorgun-2019-1.pdf,Björgunar ehf,VM Félags vélstjóra og málmtæknimanna,aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,2250,óskilgreint,úr texta,til fjölgunar eða fækkunar vinnudaga reiknast hlutfallslega miðað við umsamin árslaun. 4. LAUN OG TILLEGG 4.1. Laun 4.1.1. Dagkaup félagsmann VM hækkar á samningstímanum sem hér segir: þann 1. apríl 2019 kr. 2.250 þann 1. apríl 2020 kr. 3.150 þann 1. Janúar 2021 kr. 3.150 þann 1. Janúar 2022 kr. 3.300 Aðrir launaliðir hækka samk
vr,VR,vr/kjarasamningur_vrogsa_vefur.pdf,MILLI VR,SAMTAKA ATVINNULÍFSINS,aðilar úr skjali,2019-04-01,2022-11-01,2019-04-01,krónutala,,17000,kauptaxtar,úr texta,s. Launahækkanir samningsins eru allar í formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kauptaxtar Kauptaxtar hækka sérs
sa,Samtök atvinnulífsins,sa/7fe264a5-c524-4d94-9ea0-5ab3fb53a048_kaupgjaldsskra-22-2019-april-vefutgafa.pdf,MATVÍS - Matvæla,veitingafélags Íslands 11,aðilar úr skjali,,,2019-04-03,krónutala,,17000,kauptaxtar,úr texta,"Kaupgjaldsskrá nr. 22 Kauptaxtar og föst mánaðarlaun fyrir dagvinnu hækka um 17.000 kr. 3. apríl 2019 voru kjarasamningar undirritaðir milli SA annars vegar og VR, Landssambands íslenzkra verzlunarmanna, Starfsgreinasam"
vm,VM - Félag vélstjóra og málmtæknimanna,vm/Kjarasamn-VM-SFS-180217.pdf,Samtaka fyrirtækja í sjávarútvegi (SFS) og Samtaka atvinnulífsins (SA),VM - Félags vélstjóra og málmtæknimanna,aðilar úr skjali,2017-02-01,2019-10-01,2019-05-01,prósenta,3.0,,óskilgreint,úr texta,"óra kr. 376.419 og yfirvélstjóra kr. 451.703. Aðrir launaliðir en starfsaldurálag og tímakaup hækka um 4,5%. Þann 1. maí 2018 verður kauptrygging fyrsta og annars vélstjóra kr. 387.712 og yfirvélstjóra kr. 465.254. Aðrir launaliðir en starfsaldurálag og tímakaup hækka um 3,0%. Þann 1. maí 2019 verður kauptrygging fyrsta og annars vélstjóra og vélavarðar, bátsmanna og netamanns kr. 408.476 og yfirv"
vr,VR,vr/kjarasamningur-2019_fr-1-aprl-2019-til-1-nvember-2022.pdf,MILLI: SAMTAKA ATVINNULÍFSINS,SAMTAKA FERÐAÞJÓNUSTUNNAR,aðilar úr skjali,,,2019-05-01,krónutala,,17000,almenn laun,úr texta,breytingar Launahækkanir samningsins eru allar í formi krónutö luhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. maí 2019: 17.000 kr. 1. maí 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. Kjaratengdir liðir kjarasamninga hæ
afl,AFL Starfsgreinafélag,afl/2019-2023-SGSogSveitafelogin.pdf,SAMBANDS ÍSLENSKRA SVEITARFÉLAGA F.H. ÞEIRRA SVEITARFÉLAGA,ANNARRA AÐILA SEM ÞAÐ HEFUR,aðilar úr skjali,2019-01-01,2023-12-31,2020-01-01,krónutala,,17000,kauptaxtar,úr texta,u frá 1. janúar 2023 til 30. september 2023 samkvæmt samningsniðurstöðu þeirra sem fá greidd laun samkvæmt kauptöxtum á almennum vinnumarkaði. Mánaðarlaun hækka sem hér segir á samningstímanum: 1. janúar 2020: Hækka laun um kr. 17.000 kr. 1. apríl 2020: Hækka laun um kr. 24.000 kr. 1. janúar 2021: Hækka laun um kr. 24.000 kr. 1. janúar 2022: Hækka laun u
framsyn,Framsýn stéttarfélag,framsyn/Kjarasamningur-SGS-og-Landsvirkjunar-breytingar.pdf,Starfsgreinasambands Íslands,Landsvirkjunar,aðilar úr skjali,,,2020-01-01,krónutala,,17000,launatafla,úr texta,stað launatöflu sem tengd er lífaldri. Við vörpun yfir í nýja töflu skal starfsmaðu r raðast í þrep á grundvelli starfsaldurs. Ef launabreyting hans með nýr ri röðun er lægri en kr. 17.000 skal hann raðast í hærra þrep svo a.m.k. kr. 17.000 hækkun er náð. Lágmarksflokkun starfa frá 1. janúar 2020 Sumarstarfsmenn yngri en 18 ára: lfl. 117 Sumarstarfsmenn 18 ára og eldri lfl. 121 Sumarstarfsmenn sem
sameyki,Sameyki stéttarfélag í almannaþjónustu,sameyki/''2020_Kálfur_SAMEYKI_SHS_skrifstofa_LOK.pdf,SAMBANDS ÍSLENSKRA SVEITARFÉLAGA F.H. SLÖKKVILIÐS HÖFUÐBORGARSVÆÐISINS,SAMEYKIS,aðilar úr skjali,2020-01-01,2020-03-31,2020-01-01,krónutala,,17000,launatafla,úr texta,ildir frá 1. janúar 2022 til 31. mars 2023. Útgefin launatafla hverju sinni nær yfir alla launaflokka sem miðað er við í kjarasamningi þessum. Mánaðarlaun hækka sem hér segir á samningstímanum: 1. janúar 2020 17.000 kr. 1. apríl 2020 24.000 kr. 1. janúar 2021 24.000 kr. 1. janúar 2022 25.000 kr. Grein 1.1.1.2 fellur niður 1.1.4 EI
sameyki,Sameyki stéttarfélag í almannaþjónustu,sameyki/''Frihofnin ehf-kjarasamningur-lokautgafa 2019-2022.pdf,aðila framlengist frá 1. janúar 2019 til 31. október 2022 með þeim breytingum,fyrirvör,aðilar úr skjali,2019-01-01,2022-12-31,2020-01-01,krónutala,,17000,kauptaxtar,úr texta,"skjal 1. Launataxtar gilda frá 1. janúar 2020, 1. apríl 2020, 1. janúar 2021 og 1. janúar 2022. Taxtahækkanir á samningstíma eru samtals 90.000 kr. Almennar launahækkanir á samningstímanum: 1. janúar 2020 17.000 kr. 1. apríl 2020 18.000 kr. 1. janúar 2021 15.750 kr 1. janúar 2022 17.250 kr. Kjaratengdir liðir kjarasamnings hækka"
verkvest,Verkalýðsfélag Vestfirðinga,verkvest/kjarasamningur-sgs-og-sambands-islenskra-sveitarfelaga-2020-2023_vef.pdf,Starfsgreinasambands Íslands,Sambands íslenskra sveitarfélaga,aðilar úr skjali,2020-01-01,2023-12-31,2020-01-01,krónutala,,17000,kauptaxtar,úr texta,u frá 1. janúar 2023 til 30. september 2023 samkvæmt samningsniðurstöðu þeirra sem fá greidd laun samkvæmt kauptöxtum á almennum vinnumarkaði. Mánaðarlaun hækka sem hér segir á samningstímanum: 1. janúar 2020: Hækka laun um kr. 17.000 kr. 1. apríl 2020: Hækka laun um kr. 24.000 kr. 1. janúar 2021: Hækka laun um kr. 24.000 kr. 1. janúar 2022: Hækka laun u
afl,AFL Starfsgreinafélag,afl/2019-2023-SGSogSveitafelogin.pdf,SAMBANDS ÍSLENSKRA SVEITARFÉLAGA F.H. ÞEIRRA SVEITARFÉLAGA,ANNARRA AÐILA SEM ÞAÐ HEFUR,aðilar úr skjali,2019-01-01,2023-12-31,2020-04-01,krónutala,,24000,kauptaxtar,úr texta,amkvæmt samningsniðurstöðu þeirra sem fá greidd laun samkvæmt kauptöxtum á almennum vinnumarkaði. Mánaðarlaun hækka sem hér segir á samningstímanum: 1. janúar 2020: Hækka laun um kr. 17.000 kr. 1. apríl 2020: Hækka laun um kr. 24.000 kr. 1. janúar 2021: Hækka laun um kr. 24.000 kr. 1. janúar 2022: Hækka laun um kr. 25.000 kr. 1. janúar 2023: Tekur launat
afl,AFL Starfsgreinafélag,afl/2022_kjarasamningur-sgs-og-lv.pdf,Starfsgreinasambands Íslands vegna viðkomandi stéttarfélaga,Landsvirkjunar,aðilar úr skjali,2019-01-01,2022-11-01,2020-04-01,krónutala,,24000,kauptaxtar,úr texta,"Að auki eru launatöflur í þessari útgáfu byggðar á samningi SA, ASÍ og aðildarfélaga ASÍ dags. Kauptaxtar kjarasamningsins hækka á samningstímabilinu sem hér segir: 1. apríl 2019 kr. 17.000 1. apríl 2020 kr. 24.000 1. janúar 2021 kr. 24.000 1. janúar 2022 kr. 25.000 Aðrir launaliðir kjarasamningsins hækka um 2,"
efling,Efling stéttarfélag,efling/Kjarasamningr Eflingar og ri-kis 2019.pdf,fjármála- og efnahagsráðherra f.h. ríkissjóðs,Eflingar-stéttarfélags,aðilar úr skjali,,,2020-04-01,krónutala,,24000,launatafla,úr texta,"sjóðs 1 1 Um kaup 1.1 Mánaðarlaun 1.1.1 Mánaðarlaun starfsmanns sem gegnir fullu starfi, skulu greidd samkvæmt meðfylgjandi launatöflum í fylgiskjali 3. 1. apríl 2019: Laun hækka um 17.000 kr. 1. apríl 2020: Laun hækka um 24.000 kr. fyrir launa flokka 1 -17 og um 18.000 kr. fyrir hærri launaflokka. 1. janúar 2021: Ný launatafla tekur gildi. 1. janúar 2022: Laun hækka um 17.250 kr. 1.1.2 Þegar unni"
efling,Efling stéttarfélag,efling/Kjarasamningur Eflingar og Reykjavi-kurborgar 2019-2023.pdf,Reykjavíkurborgar,Eflingar – stéttarfélags,aðilar úr skjali,2019-01-01,2023-12-31,2020-04-01,krónutala,,24000,launatafla,úr texta,"sem gegnir fullu starfi, skulu greidd skv. meðfylgjandi launatöflum í fylgiskjali XVII sem taka eftirfarandi breytingum á samningstímanum: 1. apríl 2019 hækka laun um kr. 17.000, launatafla 1. 1. apríl 2020 hækka laun um kr. 24.000 samhliða breyttri tengingu starfsmats við launatöflu, launatafla 2 1. janúar 2021 hækka laun um kr. 24.000, launatafla 3. 1. janúar 2022 hækka laun um kr. 25.000, launa"
efling,Efling stéttarfélag,efling/Kjarasamningur Eflingar og SA fyrir starfsfo-lk ho-tela- og veitingahu-sa fra- 1.4.19 til 1.11.22.pdf,Samtaka atvinnulífsins,Eflingar – stéttarfélags,aðilar úr skjali,,,2020-04-01,krónutala,,18000,kauptaxtar,úr texta,"ngarfyrirtækja o.fl. formi krónutöluhækkana á mánaðarlaun. Með mánaðarlaunum er átt við föst mánaðarlaun fyrir dagvinnu. Almenn hækkun mánaðarlauna fyrir fullt starf 1. apríl 2019: 17.000 kr. 1. apríl 2020: 18.000 kr. 1. janúar 2021: 15.750 kr. 1. janúar 2022: 17.250 kr. 1.3.2. Kauptaxtar Kauptaxtar hækka sérstaklega, sbr. fylgiskj"
