Ár,Ársfjórðungur,Launþegahópur,Breyting,gildi
2007,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",3.7
2007,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",9.5
2007,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,116.5
2007,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",3.8
2007,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",10
2007,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,118.3
2007,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",3.6
2007,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",8.7
2007,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,120.9
2007,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.5
2007,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",11.7
2007,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,118.6
2007,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.1
2007,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",8.1
2007,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,118.4
2007,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.6
2007,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",8.9
2007,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,118.7
2007,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.3
2007,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",6.6
2007,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,122.6
2007,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.5
2007,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",9.4
2007,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,119.9
2007,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1
2007,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",7.4
2007,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,120.1
2007,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.5
2007,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",8.2
2007,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,119.1
2007,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.4
2007,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",6.1
2007,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,124.8
2007,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.8
2007,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",9.2
2007,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,120.8
2007,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.8
2007,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",6.7
2007,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,121
2007,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.8
2007,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",7.9
2007,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,120.1
2007,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.9
2007,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",5.2
2007,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,121.8
2007,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",10.4
2007,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,119.2
2007,Meðaltal ársins,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",7.9
2007,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,119
2007,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",8.7
2007,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,119
2007,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",6.6
2008,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,128.1
2008,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",2.6
2008,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",7.5
2008,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,124.6
2008,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",3.1
2008,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",6.1
2008,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,124
2008,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",2.5
2008,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",6.4
2008,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,125
2008,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",4.1
2008,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",5.7
2008,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,132
2008,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",3.1
2008,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",9.2
2008,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,126.6
2008,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.6
2008,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",6.7
2008,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,125.9
2008,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",1.5
2008,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",6.4
2008,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,127.2
2008,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.7
2008,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",7.2
2008,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,133.5
2008,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.1
2008,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",8.9
2008,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,132.7
2008,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",4.8
2008,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",10.7
2008,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,133.4
2008,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",6
2008,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",11.1
2008,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,131.1
2008,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",3
2008,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",10.1
2008,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,132.8
2008,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",-0.5
2008,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",6.4
2008,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,136.2
2008,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",2.7
2008,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",12.7
2008,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,136.4
2008,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",2.2
2008,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",12.7
2008,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,135.4
2008,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",3.3
2008,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",12.8
2008,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,131.6
2008,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",8
2008,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,130
2008,Meðaltal ársins,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",9
2008,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,129.8
2008,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",9.1
2008,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,129.6
2008,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",8.9
2009,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,133.3
2009,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",0.3
2009,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",4.1
2009,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,138.7
2009,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",1.8
2009,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",11.3
2009,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,136.8
2009,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.3
2009,1. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",10.3
2009,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,141
2009,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",4.1
2009,1. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",12.7
2009,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,133.6
2009,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",0.2
2009,2. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",1.2
2009,2. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,138.6
2009,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0
2009,2. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",9.5
2009,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,136.7
2009,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",-0.1
2009,2. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",8.6
2009,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,141
2009,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0
2009,2. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",10.8
2009,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,134.7
2009,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",0.8
2009,3. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",0.8
2009,3. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,139.2
2009,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.4
2009,3. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",4.9
2009,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,137.2
2009,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.4
2009,3. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",2.8
2009,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,141.6
2009,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",0.4
2009,3. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",8
2009,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,137.3
2009,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.9
2009,4. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",3.4
2009,4. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,140.3
2009,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.8
2009,4. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",3
2009,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,137.8
2009,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrri ársfjórðungi, %",0.4
2009,4. ársfjórðungur,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",1
2009,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,143.4
2009,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrri ársfjórðungi, %",1.3
2009,4. ársfjórðungur,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",5.9
2009,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,Vísitala,134.7
2009,Meðaltal ársins,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",2.4
2009,Meðaltal ársins,Opinberir starfsmenn - alls,Vísitala,139.2
2009,Meðaltal ársins,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",7.1
2009,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,Vísitala,137.1
2009,Meðaltal ársins,Opinberir starfsmenn - ríkisstarfsmenn,"Breyting frá fyrra ári, %",5.6
2009,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,Vísitala,141.7
2009,Meðaltal ársins,Opinberir starfsmenn - starfsmenn sveitarfélaga,"Breyting frá fyrra ári, %",9.3
2010,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,Vísitala,139.1
2010,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrri ársfjórðungi, %",1.3
2010,1. ársfjórðungur,Starfsmenn á almennum vinnumarkaði,"Breyting frá fyrra ári, %",4.4
2010,1. ársfjórðungur,Opinberir starfsmenn - alls,Vísitala,140.7
2010,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrri ársfjórðungi, %",0.3
2010,1. ársfjórðungur,Opinberir starfsmenn - alls,"Breyting frá fyrra ári, %",1.4
