Mánuður,Vísitala,Liður,gildi
1990M05,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",17.8
1990M06,Vísitala neysluverðs,Vísitala,145.4
1990M06,Vísitala neysluverðs,"Mánaðarbreyting, %",0.69
1990M06,Vísitala neysluverðs,"Ársbreyting, %",15.5
1990M06,Vísitala neysluverðs án húsnæðis,Vísitala,146.1
1990M06,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.76
1990M06,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",15.1
1990M07,Vísitala neysluverðs,Vísitala,146.4
1990M07,Vísitala neysluverðs,"Mánaðarbreyting, %",0.69
1990M07,Vísitala neysluverðs,"Ársbreyting, %",15.5
1990M07,Vísitala neysluverðs án húsnæðis,Vísitala,147.2
1990M07,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.75
1990M07,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",15.1
1990M08,Vísitala neysluverðs,Vísitala,146.8
1990M08,Vísitala neysluverðs,"Mánaðarbreyting, %",0.27
1990M08,Vísitala neysluverðs,"Ársbreyting, %",14.2
1990M08,Vísitala neysluverðs án húsnæðis,Vísitala,148.4
1990M08,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.82
1990M08,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",14.1
1990M09,Vísitala neysluverðs,Vísitala,146.8
1990M09,Vísitala neysluverðs,"Mánaðarbreyting, %",0
1990M09,Vísitala neysluverðs,"Ársbreyting, %",12
1990M09,Vísitala neysluverðs án húsnæðis,Vísitala,148.3
1990M09,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",-0.07
1990M09,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",11.6
1990M10,Vísitala neysluverðs,Vísitala,147.2
1990M10,Vísitala neysluverðs,"Mánaðarbreyting, %",0.27
1990M10,Vísitala neysluverðs,"Ársbreyting, %",10.1
1990M10,Vísitala neysluverðs án húsnæðis,Vísitala,149
1990M10,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.47
1990M10,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",10.4
1990M11,Vísitala neysluverðs,Vísitala,148.2
1990M11,Vísitala neysluverðs,"Mánaðarbreyting, %",0.68
1990M11,Vísitala neysluverðs,"Ársbreyting, %",9.2
1990M11,Vísitala neysluverðs án húsnæðis,Vísitala,150.3
1990M11,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.87
1990M11,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",9.9
1990M12,Vísitala neysluverðs,Vísitala,148.6
1990M12,Vísitala neysluverðs,"Mánaðarbreyting, %",0.27
1990M12,Vísitala neysluverðs,"Ársbreyting, %",7.2
1990M12,Vísitala neysluverðs án húsnæðis,Vísitala,150.7
1990M12,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.27
1990M12,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",7.8
1991M01,Vísitala neysluverðs,Vísitala,149.5
1991M01,Vísitala neysluverðs,"Mánaðarbreyting, %",0.61
1991M01,Vísitala neysluverðs,"Ársbreyting, %",7.3
1991M01,Vísitala neysluverðs án húsnæðis,Vísitala,151.7
1991M01,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.66
1991M01,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",8.2
1991M02,Vísitala neysluverðs,Vísitala,150
1991M02,Vísitala neysluverðs,"Mánaðarbreyting, %",0.33
1991M02,Vísitala neysluverðs,"Ársbreyting, %",6
1991M02,Vísitala neysluverðs án húsnæðis,Vísitala,152.2
1991M02,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.33
1991M02,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",7.3
1991M03,Vísitala neysluverðs,Vísitala,150.3
1991M03,Vísitala neysluverðs,"Mánaðarbreyting, %",0.2
1991M03,Vísitala neysluverðs,"Ársbreyting, %",5.3
1991M03,Vísitala neysluverðs án húsnæðis,Vísitala,152.8
1991M03,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.39
1991M03,Vísitala neysluverðs án húsnæðis,"Ársbreyting, %",7
1991M04,Vísitala neysluverðs,Vísitala,151
1991M04,Vísitala neysluverðs,"Mánaðarbreyting, %",0.47
1991M04,Vísitala neysluverðs,"Ársbreyting, %",5.5
1991M04,Vísitala neysluverðs án húsnæðis,Vísitala,153.2
1991M04,Vísitala neysluverðs án húsnæðis,"Mánaðarbreyting, %",0.26
