samningur_id,contract_id,felag_id,felag,atvinnurekandi,markadur,heildarsamtok,samningur_fra,samningur_til,gildir_fra,tegund,prosenta,kronur,a_vid,artal_stada,heimild,skjal,tilvitnun
1772,kt_5502697679_6305943659,52,Samtök starfsmanna fjármálafyrirtækja,Samninganefnd bankanna,almennur,Sérfélög,1976-07-01,1978-06-30,1977-07-01,prósenta,5.0,,óskilgreint,úr texta,rikissattasemjari,samningur_1104.txt,. flokkur 114.500 117.700 120.800 10. flokkur 127.170 132.360 137.500 11. flokkur 142.200 147.100 152.300 12. flokkur 158.975 165.350 169.500 4.mgr. Framangreind laun skulu hækka hinn 1. febrúar 1977 um 5% og þau laun síðan hækka um 4% hinn 1. júlí 1977. 5. mgr. Kjör samkvæmt samkomulagi þessu eru lágmarks- kjör. 3.gr. Um útborgun launa og afleysingar 1. mgr. Fastráðni
1773,kt_5502697679_6305943659,52,Samtök starfsmanna fjármálafyrirtækja,Samninganefnd bankanna,almennur,ASÍ,1977-07-01,1979-10-01,1977-12-01,krónutala,,5000,óskilgreint,úr texta,rikissattasemjari,samningur_1103.txt,"m hann fær skv. 1.1.2. Eftir 11. fl. 211.500 219.000 226.500 O ( 15 ára starf verði álag þetta 6% 12. 5600 246.000 22 NR 1.1.9. Ákvæði greina l1.1.5. - 1.1.8. taka einnig til 1.1.3. Laun hækki um 4% 1. des. 1977, þó eigi um lægri starfsmanna, sem ekki gegna fullu starfi. fjárhæð en kr. 5.000 "" ""0 0m 3% 1. júní 1978, þó eigi um lægri | fjárhæð en kr. 5.000 1.1.10. Það skal vera aðalregla, að fastrá"
1773,kt_5502697679_6305943659,52,Samtök starfsmanna fjármálafyrirtækja,Samninganefnd bankanna,almennur,ASÍ,1977-07-01,1979-10-01,1977-12-01,krónutala,,4000,launatafla,úr texta,rikissattasemjari,samningur_1103.txt,"2 á samningstímanum eigi vera lakari en á almenna vinnumarkaðinum. Lágmarkshækkunarmörk launa skv. 1.1.3. skulu breytast með verðbótum sem hér segir: Hækkunarmörkin 1. júní og 1. september 1978, kr. 5.000 og kr. 4.000, skulu breytast í réttu hlutfalli við verðbótabreytingu launa frá 1. desember 1977. Yfirvinnukaup 1.4. 1, 4. I. Yfirvinna er greidd með tímakaupi. Tímakaup fyrir yfirvinnu í hverjum "
1773,kt_5502697679_6305943659,52,Samtök starfsmanna fjármálafyrirtækja,Samninganefnd bankanna,almennur,ASÍ,1977-07-01,1979-10-01,1978-09-01,krónutala,,5000,óskilgreint,úr texta,rikissattasemjari,samningur_1103.txt,"skulu 2 ; = sið á 2 á samningstímanum eigi vera lakari en á almenna vinnumarkaðinum. Lágmarkshækkunarmörk launa skv. 1.1.3. skulu breytast með verðbótum sem hér segir: Hækkunarmörkin 1. júní og 1. september 1978, kr. 5.000 og kr. 4.000, skulu breytast í réttu hlutfalli við verðbótabreytingu launa frá 1. desember 1977. Yfirvinnukaup 1.4. 1, 4. I. Yfirvinna er greidd með tímakaupi. Tímakaup fyrir yf"
431,sjomannafelagreykj_landhelgisgsla_i_f07029,,Sjómannafélag Reykjavíkur,Landhelgisgæsla Íslands,almennur,,1981-03-01,,1980-12-15,prósenta,11.5,,byrjunarlaun,ályktað (óvisst),rikissattasemjari,SKM_C554e23100614570.txt,"ags. 27. mars 1976."" Í staðinn komi: Vinnutímastytting úr 48 klst. í 40 klst. vinnuviku greið- ist Í tvennu lagi, annars vegar með 10,25 % á grunnlaun (1.2.) og hins vegar með 23 fríðögum skv. f-lið greinar 7.1. Laun hækki um 11,5 % miðað við laun 1.de sember 1980, yfirvinna hækki þó frá 15. desember. Frá 1. mars 1981 verði byrjunarlaun háseta kr. 4.360,62, byrjunar- laun bátsmanna og timburmanna "
258,kt_6701690149_6305943659,,Múrarasamband Íslands,"Samtök atvinnulífsins, SA",almennur,,,1987-12-01,1981-03-01,prósenta,2.0,,almenn laun,ályktað (óvisst),rikissattasemjari,SKM_C554e23092515260.txt,"arar viðmiðunartala 113.41 Innifalið í reiknitöl þannig breyttri eru allir kostnaðarliðir, sem verið hafa í tölum, ásamt breytingum vegna breyttra flutningsmarka, grunntölu- hækkun 5%, áfangahækkun 1. mars 2% og áfangahækkun 1. júní 1,5%. Samningsaðilar komi sér saman um uppskiptingu reiknitölu í grunnlaun helgidagar - ferðat fæðisgjald, verkf"
270,veggfoðrarafelagre_kt6305943659_700ada,,"Veggfóðrarafélag Reykjavíkur, Sveinafélag pípulagningamanna","Samtök atvinnulífsins, SA",almennur,,,1987-12-01,1981-03-01,prósenta,2.0,,almenn laun,ályktað (óvisst),rikissattasemjari,SKM_C554e23092516520.txt,"109.23 Veggfóðrar 121.60 Innifalið í reiknitölum þannig breyttum eru allir kostnaðarliðir, sem verið hafa í tölum, ásamt breytingum vegna breyttra flutningsmarka, grunntölu- hækkun 5%, áfangahækkun 1. mars 2% og áfangahækkun 1. júní 1,5%. Samningsaðilar komi ser saman um uppskiptingu reiknitalnanna í grunnlaun helgidagar - ferðat fæðisgjald, v"
267,felagbyggingariðna_null_1c5c24,,Félag byggingariðnaðarmanna Árnessýslu,null,,,,1987-12-01,1981-06-01,prósenta,1.5,,almenn laun,ályktað (óvisst),rikissattasemjari,SKM_C554e23092516270.txt,"VMS frá 6. des. s.l. sem gildandi ákvæði þessa samnings. Þar sem áfangahækkun sem skv. ASÍ- samningi skyldi koma Í. júní 1987 hefur verið flýtt og er þegar komin til framkvæmda hækka laun ekki þann 1. júní, nema um það, sem launanefnd kynni að úrskurða umfram þá 1,5% hækkun. 12. gr. Þar sem unnin er föst yfirvinna, veldur brottfall kaffitímans í upphafi yfirvinnu því, að fyrir sama yfirvinnutíma s"
258,kt_6701690149_6305943659,,Múrarasamband Íslands,"Samtök atvinnulífsins, SA",almennur,,,1987-12-01,1981-06-01,prósenta,1.5,,almenn laun,ályktað (óvisst),rikissattasemjari,SKM_C554e23092515260.txt,"Innifalið í reiknitöl þannig breyttri eru allir kostnaðarliðir, sem verið hafa í tölum, ásamt breytingum vegna breyttra flutningsmarka, grunntölu- hækkun 5%, áfangahækkun 1. mars 2% og áfangahækkun 1. júní 1,5%. Samningsaðilar komi sér saman um uppskiptingu reiknitölu í grunnlaun helgidagar - ferðat fæðisgjald, verkfæra- og fatagjald. 4. gr. Almenn 3,53% upphafshækkun er meðtalin í öllum launatölu"
270,veggfoðrarafelagre_kt6305943659_700ada,,"Veggfóðrarafélag Reykjavíkur, Sveinafélag pípulagningamanna","Samtök atvinnulífsins, SA",almennur,,,1987-12-01,1981-06-01,prósenta,1.5,,almenn laun,ályktað (óvisst),rikissattasemjari,SKM_C554e23092516520.txt,"nnifalið í reiknitölum þannig breyttum eru allir kostnaðarliðir, sem verið hafa í tölum, ásamt breytingum vegna breyttra flutningsmarka, grunntölu- hækkun 5%, áfangahækkun 1. mars 2% og áfangahækkun 1. júní 1,5%. Samningsaðilar komi ser saman um uppskiptingu reiknitalnanna í grunnlaun helgidagar - ferðat fæðisgjald, verkfæra- og fatagjald. 4. gr. Almenn 3,53% upphafshækkun er meðtalin í öllum laun"
270,veggfoðrarafelagre_kt6305943659_700ada,,"Veggfóðrarafélag Reykjavíkur, Sveinafélag pípulagningamanna","Samtök atvinnulífsins, SA",almennur,,,1987-12-01,1981-10-01,prósenta,1.5,,kauptaxtar,ályktað (óvisst),rikissattasemjari,SKM_C554e23092516520.txt,"u um 3,53%. Á samningstímabilinu hækka öll laun og kjaratengdir liðir, sem fylgt hafa kauptöxtum kjarasamninga þ.m.t. grunntölur afkastahvetjandi launakerfa og kostnaðarliðir, sem hér segir: 1. Frá 1. okt: 1987 um 1,5% Lágmarkslaun verða sem hér segir: 1. október 1987 kr. 36.800. () 5. gr. Ákv. kjarasamnings um tímavinnu í yfirvinnu taki þessum breytingum: Yfirvinna e"
281,kt_4502696979_6305943659,,Málarafélag Reykjavíkur,Meistarasamband byggingamanna,almennur,,1981-11-01,1982-05-01,1981-11-01,prósenta,3.25,,lágmarkstekjur,úr texta,rikissattasemjari,SKM_C554e23092516511.txt,"og Málarafélag Reykjavíkur hins vegar gera með sér svofellt samkomulag: Í I Síðast gildandi samningar framlengjast til 15. maí 1982 með þeim breytingum, sem greinir Í samningi þessum. 2. gr. Frá 1. nóvember 1981 hækki öll laun um 3,25 %. 3. GK: Frá 1. nóvember 1981 skulu lágmarkstekjur fyrir fulla dagvinnu vera krónur 5.214 á mánuði að meðtalinni hækkun skv. 2. gr.,"
432,sjomannafelagreykj_sa_a3c00f,,Sjómannafélag Reykjavíkur,"Vinnuveitendasamband Íslands, Vinnumálasamband samvinnufélaganna, Vinnumálanefnd ríkisins",opinber,,1982-10-01,1983-01-03,1982-10-01,prósenta,4.0,,launatafla,úr texta,rikissattasemjari,SKM_C554e23100614580.txt,"ði þessi: Hásetar 100 % Bátsmenn, timburmenn 115 % Smyrjarar, dagmenn 110 % Viðvaningar 90 % Vikafólk 75 % () 1ell:b. Launatafla háseta, starfsmanna í vél og vikafólks með grunnkaups- hækkun frá 1. okt. 1982 og vísitölubótum frá l. sept. 1982: Bátsmaður, 4 % 20,4666 Y-A Y-B timburm. Grunnlaun mótortill. vinnut.st. Samtals án orl. án orl Byrj.laun 9.228,27 1.888,71 11.117,= 85,19 Eftir l ár 9.781,9"
1775,kt_5502697679_6305943659,52,Samtök starfsmanna fjármálafyrirtækja,Samninganefnd bankanna,almennur,Sérfélög,1982-06-01,1983-10-31,1982-12-01,prósenta,8.33,,launatafla,úr texta,rikissattasemjari,samningur_1100.txt,"i fá þó 9,7% og í 10.-12. launaflokki 11,11% án tillits til aldurs eða starfs- aldurs. Vextir á orlofsfé greiðist eins og hæstu vextir af almennum sparisjóðsbókum eru á hverjum tíma á ársgrundvelli. 1. desember 1982 breytast prósentutölur í þessum kafla þannig: 8,33% í 10,17%, 9,7% í 11,59% og 11,1l1% í 13,04%. Di lá Greiða skal hverjum starfsmanni l. júni ár hvert orlofs- framlag, sem er 3,5% af "
174,felagmatreiðsluman_hf_eimskipafelag_35ac41,,Félag matreiðslumanna,"Hf. Eimskipafélags Íslands, Jökla hf., Hafskips hf., Sambands ísl. samvinnufélags, Nesskips hf., skipafélagsins Víkur hf. og Skipareksturs ríkisins",almennur,,1982-06-01,,1983-01-01,prósenta,2.0,,almenn laun,úr texta,rikissattasemjari,SKM_C554e23091214560.txt,"6.92 83.16 a. Matsveinn ófaglærður 7.738 80.36 62.50 a. faglærður kr. 852 b. ófaglærður - 760 og taki breytingum með sama hætti og laun. Á skipum þar sem ekki er bryti, fær matreiðslumaður kr. 410 pr. mán., vegna yfirumsjónar með rúmfatnaði og öðru líni skipsins. | Öll laun hækki um 2% 1. janúar 1983 og aftur um Í% í. marz 1983. á Um greiðslu verðbóta á laun fer skv. 1. 13/1979, þó skal draga E sé"
432,sjomannafelagreykj_sa_a3c00f,,Sjómannafélag Reykjavíkur,"Vinnuveitendasamband Íslands, Vinnumálasamband samvinnufélaganna, Vinnumálanefnd ríkisins",opinber,,1982-10-01,1983-01-03,1983-01-01,prósenta,3.0,,byrjunarlaun,úr texta,rikissattasemjari,SKM_C554e23100614580.txt,"ðandi: a. Lágmarksmánaðarkaup þeirra, sem samningur þessi tekur til, er miðast við 40 st. vinnuviku. Greiðsla fyrir vinnu umfram 40 st. vinnuviku fer eftir öðrum ákvæðum. Vinnutímastytting úr 48 klst. í 40 klst. á viku er 20,4666 %, sem greiðist sem hluti mánaðarlauna. Laun hækki um 3 % 1. janúar 1983. b. Frá 1. október 1982 verði byrjunarlaun háseta kr. 8.024,50, byrjunarlaun bátsmanna og timburm"
245,kt_5904693679_6305943659,30,VM,"Samtök atvinnulífsins, SA",almennur,ASÍ,1982-07-01,2000-12-01,1983-01-01,prósenta,2.0,,almenn laun,úr texta,rikissattasemjari,SKM_C554e23092014460.txt,"1. stýrimaður, 2. vélstjóri B-flokki - 8. Yfirvélstjóri A-flokki - 9. Yfirvélstjóri B-flokki A. flokkur: Skip 2000 BRL/BHÖ eða minni. B. flokkur: Skip 2001 BRL/BHÖ og stærri. Öll laun hækki hinn 1. janúar 1983 um 2% og hinn 1. mars 1983 um 1 %. = 27 — Fylgiskjal 2. Samningsaðilar, FFSÍ og útgerðir kaupskipa eru ásáttir um að fara þess á l"
317,kt_6210693469_6305943659,5,Efling,"Samtök atvinnulífsins, SA",almennur,ASÍ,1984-02-01,1985-04-15,1983-02-21,prósenta,5.0,,kauptaxtar,ályktað (óvisst),rikissattasemjari,SKM_C554e23092816450.txt,"g Vinnuveitendasambands Íslands. 1. grein. Síðastgildandi samningar ofangreindra aðila framlengjast með þeim breyt- ingum sem Í samningi þessum greinir. 2. grein. Launaliðir breytast þannig: Frá 21. febrúar sl. hækka kauptaxtar og viðmiðunartölur um 5%. Þá skulu og kauptaxtar og viðmiðunartölur hækka um 2% hinn 1. júní 1984, um 3% hinn l. september 1984 og aftur um 3% hinn 1. janúar 1985, enda haf"
317,kt_6210693469_6305943659,5,Efling,"Samtök atvinnulífsins, SA",almennur,ASÍ,1984-02-01,1985-04-15,1983-02-21,krónutala,,12660,lágmarkstekjur,ályktað (óvisst),rikissattasemjari,SKM_C554e23092816450.txt,"inn l. september 1984 og aftur um 3% hinn 1. janúar 1985, enda hafi samningnum ekki verið sagt lausum samkvæmt heimildarákvæðum 10. greinar. 3. grein. Lágmarkstekjur fyrir fulla dagvinnu skulu frá 21. febrúar sl. vera kr. 12.660 fyrir starfsmenn 16 ára og eldri og taka breytingum skv. 2. gr. l. júní og l. sept. 1984 svo og 1. janúar 1985. Þegar metið er hvort starfsmaður á rétt á greiðslu vegna þe"
245,kt_5904693679_6305943659,30,VM,"Samtök atvinnulífsins, SA",almennur,ASÍ,1982-07-01,2000-12-01,1983-03-01,prósenta,1.0,,almenn laun,úr texta,rikissattasemjari,SKM_C554e23092014460.txt,"B-flokki - 8. Yfirvélstjóri A-flokki - 9. Yfirvélstjóri B-flokki A. flokkur: Skip 2000 BRL/BHÖ eða minni. B. flokkur: Skip 2001 BRL/BHÖ og stærri. Öll laun hækki hinn 1. janúar 1983 um 2% og hinn 1. mars 1983 um 1 %. = 27 — Fylgiskjal 2. Samningsaðilar, FFSÍ og útgerðir kaupskipa eru ásáttir um að fara þess á leit við samgönguráðherra að hann beiti sér fyrir útgáfu bráðabirgða- laga um viðbót við "
438,einingiðja_kaupfelag_eyfiri_52e873,46,Sjómannasamband Íslands,Landssamband íslenskra útvegsmanna,opinber,ASÍ,1984-04-01,1985-01-01,1983-06-01,prósenta,3.0,,óskilgreint,ályktað (óvisst),rikissattasemjari,SKM_C554e23100916350.txt,"eng- ingu á síðast gildandi samningum með eftirfarandi breytingum: 1.gr. Frá 1. april 1984 hækkar kauptrygging og aðrir launaliðir um 6%. Þá skulu kauptrygging og aðrir launaliðir hækka um 28 hinn 1. júni 1984, um 3% hinn 1. september 1984 og aftur um 3% hinn 1. janúar 1985, enda hafi samningnum ekki verið sagt lausum samkvæmt heimi ldarákv"
250,byggiðnfelagbyggin_samband_bygginga_8efdeb,,BYGGIÐN - Félag byggingamanna,Samband byggingamanna,opinber,ASÍ,1983-09-01,1985-05-01,1983-09-01,prósenta,3.5,,almenn laun,úr texta,rikissattasemjari,SKM_C554e23092514480.txt,"i þær sömu og um semst á milli ASÍ. og VSÍ. Öll grunnlaun og grunntölur ákvæðisvinnu hækka sem hér segir: Við undirritun samnings 3.5% Grunntölur ákvæðisvinnu skulu hækka við undirskrift samnings hjá trésmiðum, veggfóðrurum og pípulagningamönnum um 3.5% og hjá múrurum og málurum um 4% 1. september 1983 1 desember 1983 1. júní 1984 1. desember 1984 SS) Ono 0 Starfsaldurshækkanir skulu vera sem hér "
250,byggiðnfelagbyggin_samband_bygginga_8efdeb,,BYGGIÐN - Félag byggingamanna,Samband byggingamanna,opinber,ASÍ,1983-09-01,1985-05-01,1983-09-01,prósenta,15.0,,launatafla,úr texta,rikissattasemjari,SKM_C554e23092514480.txt,"desember 1983 1. júní 1984 1. desember 1984 SS) Ono 0 Starfsaldurshækkanir skulu vera sem hér segir við undirritun samnings: eftir 1. árið 2.5% eftir 3. árið 8.5% eftir 5. árið. 10.0% Frá og með 1. september 1983 bætist við: eftir 7. árið 15.0% Röðun í launaflokka verði samkvæmt meðfylgjandi blaði. Kostnaðarliðir reiknist af 17. launaflokki eftir 3. árið. Reiknitölur, ákvæðisvinnu byggingamanna fá"
249,byggiðnfelagbyggin_sa_3f103d,,BYGGIÐN - Félag byggingamanna,VSÍ,,ASÍ,1983-09-01,1984-12-01,1983-09-01,prósenta,15.0,,launatafla,úr texta,rikissattasemjari,SKM_C554e23092514470.txt,"mber 1983 2.0% 1. júní 1984 1.5% 1. desember 1984 1.0% 3. Starf saldurshækkanir skulu vera sem hér segir við undirritun samnings eftir 1. árið. 2.5% eftir 3. árið 8.5% eftir 5. árið 10.0% Frá og með 1. september 1983 bætist við: eftir 7. árið 15.0% 4. Röðun í launaflokka verði samkvæmt meðfylgjandi blaði. 5. Kostnaðarliðir reiknist af 17. launaflokki eftir 3. árið. 6. Reiknitölur, ákvæðisvinnu byg"
119,meistarasambandbyg_kt6305943659_655566,,Meistarasamband byggingamanna,"Samtök atvinnulífsins, SA",almennur,,2001-04-01,2004-04-01,1983-09-01,prósenta,15.0,,launatafla,grunsamlegt,rikissattasemjari,SA3.txt,"ember 1983 2.0% 1. júní 1984 1.5% 1. desember 1984 1.0% 3. Starfsaldurshækkanir skulu vera sem hér segir við undirritun samnings: eftir 1. árið. 2.5% eftir 3. árið 8.5% eftir 5. árið 10.0% Frá og með 1. september 1983 bætist við: eftir 7. árið 15.0% 4. Röðun í launaflokka verði samkvæmt meðfylgjandi blaði. 5. Kostnaðarliðir reiknist af 17. launaflokki eftir 3. árið. 6. Reiknitölur, ákvæðis svinnu "
251,byggiðnfelagbyggin_samband_bygginga_8efdeb,,BYGGIÐN - Félag byggingamanna,Samband byggingamanna,opinber,ASÍ,1984-02-01,1985-01-01,1984-02-21,prósenta,5.0,,kauptaxtar,úr texta,rikissattasemjari,SKM_C554e23092514490.txt,"ima hins vegar. 1. grein. Samningur þessi byggir á síðast gildandi kjarasamning S.B.M og M.B. með þeim breytingum, sem í samningi bessum greinir. 2. grein. Launaliðir breytist þannig: Frá og með 21. febrúar 1984 hækka kauptaxtar og viðmiðunartölur um 5%. Þá skulu og kauptaxtar og viðmiðunartölur hækka um 2% hinn í. júní 1984, um 3% hinn í. september 1984 og aftur um 3% hinn í. janúar 1985, enda ha"
1410,kt_4105032040_5110932019,,VM,Áburðarverksmiðja ríkisins og Sementsverksmiðja ríkisins,,,,,1984-02-21,prósenta,2.0,,kauptaxtar,úr texta,rikissattasemjari,Aburdur.txt,"Innifalið í ofangreindum launum er 5% kauphækkun frá 21. febrúar 1984. Þá skulu kauptaxtar hækka um 2% hinn 1. júní 1984, um 3% hinn"
282,kt_4702697589_6405024520,39,Múrarafélag Reykjavíkur,Meistarasamband byggingamanna,almennur,ASÍ,1985-01-01,1987-12-01,1984-03-01,prósenta,2.0,,almenn laun,ályktað (óvisst),rikissattasemjari,SKM_C554e23092614131.txt,"svinnu: Málarar. 128.89 Innifalið í reiknitölum Þannig breyttum eru allir kostnaðarliðir, sem verið hafa í tölum, ásamt breytingum vegna breyttra flutningsmarka, grunntölu- hækkun 5%, áfangahækkun 1. mars 2% og áfangahækkun 1. júní 1,5%. Samningsaðilar komi ser saman um uppskiptingu reiknitalnanna í grunnlaun helgidagar - ferðat fæðisgjald, v"
